"Plot Title: P07_7"
"#","Date Time, GMT+01:00","Temp, °F (LGR S/N: 10456880, SEN S/N: 10456880)","Coupler Attached (LGR S/N: 10456880)","Host Connected (LGR S/N: 10456880)","Stopped (LGR S/N: 10456880)","End Of File (LGR S/N: 10456880)"
1,10/10/19 12:00:00 PM,70.651,,,,
2,10/10/19 12:05:00 PM,71.168,,,,
3,10/10/19 12:10:00 PM,71.856,,,,
4,10/10/19 12:15:00 PM,72.372,,,,
5,10/10/19 12:20:00 PM,72.718,,,,
6,10/10/19 12:25:00 PM,72.891,,,,
7,10/10/19 12:30:00 PM,73.062,,,,
8,10/10/19 12:35:00 PM,73.234,,,,
9,10/10/19 12:40:00 PM,73.234,,,,
10,10/10/19 12:45:00 PM,73.407,,,,
11,10/10/19 12:50:00 PM,73.407,,,,
12,10/10/19 12:55:00 PM,73.062,,,,
13,10/10/19 01:00:00 PM,72.891,,,,
14,10/10/19 01:05:00 PM,72.545,,,,
15,10/10/19 01:10:00 PM,72.372,,,,
16,10/10/19 01:15:00 PM,72.372,,,,
17,10/10/19 01:20:00 PM,72.718,,,,
18,10/10/19 01:25:00 PM,73.062,,,,
19,10/10/19 01:30:00 PM,73.062,,,,
20,10/10/19 01:35:00 PM,73.062,,,,
21,10/10/19 01:40:00 PM,73.062,,,,
22,10/10/19 01:45:00 PM,73.062,,,,
23,10/10/19 01:50:00 PM,72.891,,,,
24,10/10/19 01:55:00 PM,72.891,,,,
25,10/10/19 02:00:00 PM,72.891,,,,
26,10/10/19 02:05:00 PM,72.891,,,,
27,10/10/19 02:10:00 PM,72.891,,,,
28,10/10/19 02:15:00 PM,72.891,,,,
29,10/10/19 02:20:00 PM,72.891,,,,
30,10/10/19 02:25:00 PM,72.718,,,,
31,10/10/19 02:30:00 PM,72.718,,,,
32,10/10/19 02:35:00 PM,72.718,,,,
33,10/10/19 02:40:00 PM,72.718,,,,
34,10/10/19 02:45:00 PM,72.718,,,,
35,10/10/19 02:50:00 PM,72.718,,,,
36,10/10/19 02:55:00 PM,72.718,,,,
37,10/10/19 03:00:00 PM,72.718,,,,
38,10/10/19 03:05:00 PM,72.718,,,,
39,10/10/19 03:10:00 PM,72.891,,,,
40,10/10/19 03:15:00 PM,72.891,,,,
41,10/10/19 03:20:00 PM,73.062,,,,
42,10/10/19 03:25:00 PM,73.234,,,,
43,10/10/19 03:30:00 PM,73.234,,,,
44,10/10/19 03:35:00 PM,73.234,,,,
45,10/10/19 03:40:00 PM,73.234,,,,
46,10/10/19 03:45:00 PM,73.234,,,,
47,10/10/19 03:50:00 PM,73.234,,,,
48,10/10/19 03:55:00 PM,73.234,,,,
49,10/10/19 04:00:00 PM,73.234,,,,
50,10/10/19 04:05:00 PM,73.753,,,,
51,10/10/19 04:10:00 PM,72.718,,,,
52,10/10/19 04:15:00 PM,71.168,,,,
53,10/10/19 04:20:00 PM,70.308,,,,
54,10/10/19 04:25:00 PM,70.995,,,,
55,10/10/19 04:30:00 PM,71.683,,,,
56,10/10/19 04:35:00 PM,72.199,,,,
57,10/10/19 04:40:00 PM,72.718,,,,
58,10/10/19 04:45:00 PM,73.062,,,,
59,10/10/19 04:50:00 PM,73.234,,,,
60,10/10/19 04:55:00 PM,73.062,,,,
61,10/10/19 05:00:00 PM,72.718,,,,
62,10/10/19 05:05:00 PM,72.372,,,,
63,10/10/19 05:10:00 PM,72.028,,,,
64,10/10/19 05:15:00 PM,71.856,,,,
65,10/10/19 05:20:00 PM,71.512,,,,
66,10/10/19 05:25:00 PM,71.339,,,,
67,10/10/19 05:30:00 PM,71.168,,,,
68,10/10/19 05:35:00 PM,70.824,,,,
69,10/10/19 05:40:00 PM,70.651,,,,
70,10/10/19 05:45:00 PM,70.480,,,,
71,10/10/19 05:50:00 PM,70.308,,,,
72,10/10/19 05:55:00 PM,70.137,,,,
73,10/10/19 06:00:00 PM,69.964,,,,
74,10/10/19 06:05:00 PM,69.964,,,,
75,10/10/19 06:10:00 PM,69.793,,,,
76,10/10/19 06:15:00 PM,69.622,,,,
77,10/10/19 06:20:00 PM,69.449,,,,
78,10/10/19 06:25:00 PM,69.278,,,,
79,10/10/19 06:30:00 PM,68.934,,,,
80,10/10/19 06:35:00 PM,68.763,,,,
81,10/10/19 06:40:00 PM,68.763,,,,
82,10/10/19 06:45:00 PM,68.592,,,,
83,10/10/19 06:50:00 PM,68.592,,,,
84,10/10/19 06:55:00 PM,68.592,,,,
85,10/10/19 07:00:00 PM,68.421,,,,
86,10/10/19 07:05:00 PM,68.421,,,,
87,10/10/19 07:10:00 PM,68.421,,,,
88,10/10/19 07:15:00 PM,68.248,,,,
89,10/10/19 07:20:00 PM,68.248,,,,
90,10/10/19 07:25:00 PM,68.248,,,,
91,10/10/19 07:30:00 PM,68.077,,,,
92,10/10/19 07:35:00 PM,67.906,,,,
93,10/10/19 07:40:00 PM,67.906,,,,
94,10/10/19 07:45:00 PM,67.735,,,,
95,10/10/19 07:50:00 PM,67.735,,,,
96,10/10/19 07:55:00 PM,67.564,,,,
97,10/10/19 08:00:00 PM,67.564,,,,
98,10/10/19 08:05:00 PM,67.392,,,,
99,10/10/19 08:10:00 PM,67.392,,,,
100,10/10/19 08:15:00 PM,67.221,,,,
101,10/10/19 08:20:00 PM,67.221,,,,
102,10/10/19 08:25:00 PM,67.221,,,,
103,10/10/19 08:30:00 PM,67.050,,,,
104,10/10/19 08:35:00 PM,67.050,,,,
105,10/10/19 08:40:00 PM,66.879,,,,
106,10/10/19 08:45:00 PM,66.879,,,,
107,10/10/19 08:50:00 PM,66.879,,,,
108,10/10/19 08:55:00 PM,66.879,,,,
109,10/10/19 09:00:00 PM,66.708,,,,
110,10/10/19 09:05:00 PM,66.708,,,,
111,10/10/19 09:10:00 PM,66.708,,,,
112,10/10/19 09:15:00 PM,66.708,,,,
