"Plot Title: P12_4"
"#","Date Time, GMT+00:00","Temp, °F (LGR S/N: 10469238, SEN S/N: 10469238)","Coupler Attached (LGR S/N: 10469238)","Host Connected (LGR S/N: 10469238)","Stopped (LGR S/N: 10469238)","End Of File (LGR S/N: 10469238)"
1,03/31/14 07:00:00 AM,69.622,,,,
2,03/31/14 07:30:00 AM,69.622,,,,
3,03/31/14 08:00:00 AM,69.449,,,,
4,03/31/14 08:30:00 AM,69.622,,,,
5,03/31/14 09:00:00 AM,69.964,,,,
6,03/31/14 09:30:00 AM,70.480,,,,
7,03/31/14 10:00:00 AM,70.995,,,,
8,03/31/14 10:30:00 AM,71.339,,,,
9,03/31/14 11:00:00 AM,71.683,,,,
10,03/31/14 11:30:00 AM,72.028,,,,
11,03/31/14 12:00:00 PM,72.199,,,,
12,03/31/14 12:30:00 PM,72.199,,,,
13,03/31/14 01:00:00 PM,72.372,,,,
14,03/31/14 01:30:00 PM,72.372,,,,
15,03/31/14 02:00:00 PM,72.545,,,,
16,03/31/14 02:30:00 PM,72.718,,,,
17,03/31/14 03:00:00 PM,72.891,,,,
18,03/31/14 03:30:00 PM,72.891,,,,
19,03/31/14 04:00:00 PM,72.891,,,,
20,03/31/14 04:30:00 PM,72.891,,,,
21,03/31/14 05:00:00 PM,72.891,,,,
22,03/31/14 05:30:00 PM,72.891,,,,
23,03/31/14 06:00:00 PM,72.891,,,,
24,03/31/14 06:30:00 PM,72.718,,,,
25,03/31/14 07:00:00 PM,72.372,,,,
26,03/31/14 07:30:00 PM,72.199,,,,
27,03/31/14 08:00:00 PM,72.028,,,,
28,03/31/14 08:30:00 PM,72.028,,,,
29,03/31/14 09:00:00 PM,71.856,,,,
30,03/31/14 09:30:00 PM,71.856,,,,
31,03/31/14 10:00:00 PM,71.683,,,,
32,03/31/14 10:30:00 PM,71.683,,,,
33,03/31/14 11:00:00 PM,71.512,,,,
34,03/31/14 11:30:00 PM,71.512,,,,
35,04/01/14 12:00:00 AM,71.339,,,,
36,04/01/14 12:30:00 AM,71.339,,,,
37,04/01/14 01:00:00 AM,71.339,,,,
38,04/01/14 01:30:00 AM,71.168,,,,
39,04/01/14 02:00:00 AM,71.168,,,,
40,04/01/14 02:30:00 AM,71.168,,,,
41,04/01/14 03:00:00 AM,71.339,,,,
42,04/01/14 03:30:00 AM,71.339,,,,
43,04/01/14 04:00:00 AM,71.339,,,,
44,04/01/14 04:30:00 AM,71.339,,,,
45,04/01/14 05:00:00 AM,71.339,,,,
46,04/01/14 05:30:00 AM,71.168,,,,
47,04/01/14 06:00:00 AM,71.168,,,,
48,04/01/14 06:30:00 AM,71.168,,,,
49,04/01/14 07:00:00 AM,71.339,,,,
50,04/01/14 07:30:00 AM,71.339,,,,
51,04/01/14 08:00:00 AM,71.168,,,,
52,04/01/14 08:30:00 AM,71.339,,,,
53,04/01/14 09:00:00 AM,71.683,,,,
54,04/01/14 09:30:00 AM,71.856,,,,
55,04/01/14 10:00:00 AM,72.199,,,,
56,04/01/14 10:30:00 AM,72.545,,,,
57,04/01/14 11:00:00 AM,72.718,,,,
58,04/01/14 11:30:00 AM,73.062,,,,
59,04/01/14 12:00:00 PM,73.234,,,,
60,04/01/14 12:30:00 PM,73.234,,,,
61,04/01/14 01:00:00 PM,73.407,,,,
62,04/01/14 01:30:00 PM,73.580,,,,
63,04/01/14 02:00:00 PM,73.753,,,,
64,04/01/14 02:30:00 PM,73.753,,,,
65,04/01/14 03:00:00 PM,73.926,,,,
66,04/01/14 03:30:00 PM,73.753,,,,
67,04/01/14 04:00:00 PM,73.407,,,,
68,04/01/14 04:30:00 PM,73.407,,,,
69,04/01/14 05:00:00 PM,73.580,,,,
70,04/01/14 05:30:00 PM,73.580,,,,
71,04/01/14 06:00:00 PM,73.580,,,,
72,04/01/14 06:30:00 PM,73.407,,,,
73,04/01/14 07:00:00 PM,73.407,,,,
74,04/01/14 07:30:00 PM,73.407,,,,
75,04/01/14 08:00:00 PM,73.407,,,,
76,04/01/14 08:30:00 PM,73.407,,,,
77,04/01/14 09:00:00 PM,73.407,,,,
78,04/01/14 09:30:00 PM,73.407,,,,
79,04/01/14 10:00:00 PM,73.580,,,,
80,04/01/14 10:30:00 PM,73.407,,,,
81,04/01/14 11:00:00 PM,73.407,,,,
82,04/01/14 11:30:00 PM,73.407,,,,
83,04/02/14 12:00:00 AM,73.407,,,,
84,04/02/14 12:30:00 AM,73.234,,,,
85,04/02/14 01:00:00 AM,73.062,,,,
86,04/02/14 01:30:00 AM,72.891,,,,
87,04/02/14 02:00:00 AM,72.718,,,,
88,04/02/14 02:30:00 AM,72.545,,,,
89,04/02/14 03:00:00 AM,72.718,,,,
90,04/02/14 03:30:00 AM,72.718,,,,
91,04/02/14 04:00:00 AM,72.718,,,,
92,04/02/14 04:30:00 AM,72.545,,,,
93,04/02/14 05:00:00 AM,72.545,,,,
94,04/02/14 05:30:00 AM,72.372,,,,
95,04/02/14 06:00:00 AM,72.372,,,,
96,04/02/14 06:30:00 AM,72.199,,,,
97,04/02/14 07:00:00 AM,72.199,,,,
98,04/02/14 07:30:00 AM,72.028,,,,
