"Plot Title: P12_4"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10469238, SEN S/N: 10469238)","Coupler Detached (LGR S/N: 10469238)","Coupler Attached (LGR S/N: 10469238)","Host Connected (LGR S/N: 10469238)","Stopped (LGR S/N: 10469238)","End Of File (LGR S/N: 10469238)"
1,10/10/19 11:00:00 AM,22.333,,,,,
2,10/10/19 11:00:02 AM,,Logged,,,,
3,10/10/19 11:05:00 AM,22.525,,,,,
4,10/10/19 11:10:00 AM,22.429,,,,,
5,10/10/19 11:15:00 AM,22.525,,,,,
6,10/10/19 11:20:00 AM,22.525,,,,,
7,10/10/19 11:25:00 AM,22.238,,,,,
8,10/10/19 11:30:00 AM,21.378,,,,,
9,10/10/19 11:35:00 AM,20.996,,,,,
10,10/10/19 11:40:00 AM,20.805,,,,,
11,10/10/19 11:45:00 AM,20.710,,,,,
12,10/10/19 11:50:00 AM,20.710,,,,,
13,10/10/19 11:55:00 AM,20.710,,,,,
14,10/10/19 12:00:00 PM,20.805,,,,,
15,10/10/19 12:05:00 PM,20.901,,,,,
16,10/10/19 12:10:00 PM,21.091,,,,,
17,10/10/19 12:15:00 PM,21.282,,,,,
18,10/10/19 12:20:00 PM,21.378,,,,,
19,10/10/19 12:25:00 PM,21.569,,,,,
20,10/10/19 12:30:00 PM,21.760,,,,,
21,10/10/19 12:35:00 PM,21.855,,,,,
22,10/10/19 12:40:00 PM,21.951,,,,,
23,10/10/19 12:45:00 PM,22.046,,,,,
24,10/10/19 12:50:00 PM,22.142,,,,,
25,10/10/19 12:55:00 PM,22.142,,,,,
26,10/10/19 01:00:00 PM,22.142,,,,,
27,10/10/19 01:05:00 PM,22.046,,,,,
28,10/10/19 01:10:00 PM,22.046,,,,,
29,10/10/19 01:15:00 PM,22.142,,,,,
30,10/10/19 01:20:00 PM,22.429,,,,,
31,10/10/19 01:25:00 PM,22.717,,,,,
32,10/10/19 01:30:00 PM,22.717,,,,,
33,10/10/19 01:35:00 PM,22.812,,,,,
34,10/10/19 01:40:00 PM,22.812,,,,,
35,10/10/19 01:45:00 PM,22.812,,,,,
36,10/10/19 01:50:00 PM,22.717,,,,,
37,10/10/19 01:55:00 PM,22.717,,,,,
38,10/10/19 02:00:00 PM,22.717,,,,,
39,10/10/19 02:05:00 PM,22.717,,,,,
40,10/10/19 02:10:00 PM,22.621,,,,,
41,10/10/19 02:15:00 PM,22.621,,,,,
42,10/10/19 02:20:00 PM,22.621,,,,,
43,10/10/19 02:25:00 PM,22.621,,,,,
44,10/10/19 02:30:00 PM,22.621,,,,,
45,10/10/19 02:35:00 PM,22.621,,,,,
46,10/10/19 02:40:00 PM,22.525,,,,,
47,10/10/19 02:45:00 PM,22.525,,,,,
48,10/10/19 02:50:00 PM,22.525,,,,,
49,10/10/19 02:55:00 PM,22.525,,,,,
50,10/10/19 03:00:00 PM,22.525,,,,,
51,10/10/19 03:05:00 PM,22.525,,,,,
52,10/10/19 03:10:00 PM,22.525,,,,,
53,10/10/19 03:15:00 PM,22.621,,,,,
54,10/10/19 03:20:00 PM,22.717,,,,,
55,10/10/19 03:25:00 PM,22.717,,,,,
56,10/10/19 03:30:00 PM,22.717,,,,,
57,10/10/19 03:35:00 PM,22.717,,,,,
58,10/10/19 03:40:00 PM,22.717,,,,,
59,10/10/19 03:45:00 PM,22.717,,,,,
60,10/10/19 03:50:00 PM,22.717,,,,,
61,10/10/19 03:55:00 PM,22.717,,,,,
62,10/10/19 04:00:00 PM,22.812,,,,,
63,10/10/19 04:05:00 PM,23.004,,,,,
64,10/10/19 04:10:00 PM,22.333,,,,,
65,10/10/19 04:15:00 PM,21.569,,,,,
66,10/10/19 04:20:00 PM,21.187,,,,,
67,10/10/19 04:25:00 PM,21.473,,,,,
68,10/10/19 04:30:00 PM,21.855,,,,,
69,10/10/19 04:35:00 PM,22.142,,,,,
70,10/10/19 04:40:00 PM,22.429,,,,,
71,10/10/19 04:45:00 PM,22.621,,,,,
72,10/10/19 04:50:00 PM,22.621,,,,,
73,10/10/19 04:55:00 PM,22.429,,,,,
74,10/10/19 05:00:00 PM,22.238,,,,,
75,10/10/19 05:05:00 PM,22.046,,,,,
76,10/10/19 05:10:00 PM,21.951,,,,,
77,10/10/19 05:15:00 PM,21.855,,,,,
78,10/10/19 05:20:00 PM,21.760,,,,,
79,10/10/19 05:25:00 PM,21.664,,,,,
80,10/10/19 05:30:00 PM,21.664,,,,,
81,10/10/19 05:35:00 PM,21.569,,,,,
82,10/10/19 05:40:00 PM,21.569,,,,,
83,10/10/19 05:45:00 PM,21.473,,,,,
84,10/10/19 05:50:00 PM,21.473,,,,,
85,10/10/19 05:55:00 PM,21.378,,,,,
86,10/10/19 06:00:00 PM,21.282,,,,,
87,10/10/19 06:05:00 PM,20.901,,,,,
88,10/10/19 06:10:00 PM,19.948,,,,,
89,10/10/19 06:15:00 PM,19.377,,,,,
90,10/10/19 06:20:00 PM,18.996,,,,,
91,10/10/19 06:25:00 PM,18.806,,,,,
92,10/10/19 06:30:00 PM,18.711,,,,,
93,10/10/19 06:35:00 PM,18.996,,,,,
94,10/10/19 06:40:00 PM,19.377,,,,,
95,10/10/19 06:45:00 PM,19.662,,,,,
96,10/10/19 06:50:00 PM,19.758,,,,,
97,10/10/19 06:55:00 PM,19.758,,,,,
98,10/10/19 07:00:00 PM,19.758,,,,,
99,10/10/19 07:05:00 PM,19.758,,,,,
100,10/10/19 07:10:00 PM,19.758,,,,,
101,10/10/19 07:15:00 PM,19.662,,,,,
102,10/10/19 07:20:00 PM,19.567,,,,,
103,10/10/19 07:25:00 PM,19.472,,,,,
104,10/10/19 07:30:00 PM,19.377,,,,,
105,10/10/19 07:35:00 PM,19.377,,,,,
106,10/10/19 07:40:00 PM,19.282,,,,,
107,10/10/19 07:45:00 PM,19.187,,,,,
108,10/10/19 07:50:00 PM,19.187,,,,,
109,10/10/19 07:55:00 PM,19.187,,,,,
110,10/10/19 08:00:00 PM,19.092,,,,,
111,10/10/19 08:05:00 PM,19.092,,,,,
112,10/10/19 08:10:00 PM,19.092,,,,,
113,10/10/19 08:15:00 PM,19.092,,,,,
114,10/10/19 08:20:00 PM,19.092,,,,,
115,10/10/19 08:25:00 PM,19.092,,,,,
116,10/10/19 08:30:00 PM,19.092,,,,,
117,10/10/19 08:35:00 PM,19.092,,,,,
118,10/10/19 08:40:00 PM,19.092,,,,,
119,10/10/19 08:45:00 PM,19.092,,,,,
120,10/10/19 08:50:00 PM,19.092,,,,,
121,10/10/19 08:55:00 PM,19.092,,,,,
122,10/10/19 09:00:00 PM,19.092,,,,,
123,10/10/19 09:05:00 PM,19.092,,,,,
124,10/10/19 09:10:00 PM,19.092,,,,,
125,10/10/19 09:15:00 PM,19.092,,,,,
126,10/10/19 09:20:00 PM,19.092,,,,,
127,10/10/19 09:25:00 PM,18.996,,,,,
128,10/10/19 09:30:00 PM,18.996,,,,,
129,10/10/19 09:35:00 PM,18.901,,,,,
130,10/10/19 09:40:00 PM,18.806,,,,,
131,10/10/19 09:45:00 PM,18.806,,,,,
132,10/10/19 09:50:00 PM,18.711,,,,,
133,10/10/19 09:55:00 PM,18.616,,,,,
134,10/10/19 10:00:00 PM,18.521,,,,,
135,10/10/19 10:05:00 PM,18.426,,,,,
136,10/10/19 10:10:00 PM,18.331,,,,,
137,10/10/19 10:15:00 PM,18.236,,,,,
138,10/10/19 10:20:00 PM,18.236,,,,,
139,10/10/19 10:25:00 PM,18.236,,,,,
140,10/10/19 10:30:00 PM,18.236,,,,,
141,10/10/19 10:35:00 PM,18.140,,,,,
142,10/10/19 10:40:00 PM,18.140,,,,,
143,10/10/19 10:45:00 PM,18.140,,,,,
144,10/10/19 10:50:00 PM,18.045,,,,,
145,10/10/19 10:55:00 PM,18.045,,,,,
146,10/10/19 11:00:00 PM,18.045,,,,,
147,10/10/19 11:05:00 PM,18.045,,,,,
148,10/10/19 11:10:00 PM,18.045,,,,,
149,10/10/19 11:15:00 PM,17.950,,,,,
150,10/10/19 11:20:00 PM,17.950,,,,,
151,10/10/19 11:25:00 PM,17.950,,,,,
152,10/10/19 11:30:00 PM,17.950,,,,,
153,10/10/19 11:35:00 PM,17.950,,,,,
154,10/10/19 11:40:00 PM,17.950,,,,,
155,10/10/19 11:45:00 PM,17.950,,,,,
156,10/10/19 11:50:00 PM,17.950,,,,,
157,10/10/19 11:55:00 PM,17.950,,,,,
158,10/11/19 12:00:00 AM,17.950,,,,,
159,10/11/19 12:05:00 AM,17.950,,,,,
160,10/11/19 12:10:00 AM,17.950,,,,,
161,10/11/19 12:15:00 AM,17.855,,,,,
162,10/11/19 12:20:00 AM,17.855,,,,,
163,10/11/19 12:25:00 AM,17.855,,,,,
164,10/11/19 12:30:00 AM,17.855,,,,,
165,10/11/19 12:35:00 AM,17.855,,,,,
166,10/11/19 12:40:00 AM,17.855,,,,,
167,10/11/19 12:45:00 AM,17.855,,,,,
168,10/11/19 12:50:00 AM,17.855,,,,,
169,10/11/19 12:55:00 AM,17.855,,,,,
170,10/11/19 01:00:00 AM,17.855,,,,,
171,10/11/19 01:05:00 AM,17.855,,,,,
172,10/11/19 01:10:00 AM,17.855,,,,,
173,10/11/19 01:15:00 AM,17.855,,,,,
174,10/11/19 01:20:00 AM,17.855,,,,,
175,10/11/19 01:25:00 AM,17.855,,,,,
176,10/11/19 01:30:00 AM,17.760,,,,,
177,10/11/19 01:35:00 AM,17.760,,,,,
178,10/11/19 01:40:00 AM,17.760,,,,,
179,10/11/19 01:45:00 AM,17.760,,,,,
180,10/11/19 01:50:00 AM,17.760,,,,,
181,10/11/19 01:55:00 AM,17.760,,,,,
182,10/11/19 02:00:00 AM,17.760,,,,,
183,10/11/19 02:05:00 AM,17.760,,,,,
184,10/11/19 02:10:00 AM,17.760,,,,,
185,10/11/19 02:15:00 AM,17.760,,,,,
186,10/11/19 02:20:00 AM,17.760,,,,,
187,10/11/19 02:25:00 AM,17.760,,,,,
188,10/11/19 02:30:00 AM,17.760,,,,,
189,10/11/19 02:35:00 AM,17.760,,,,,
190,10/11/19 02:40:00 AM,17.760,,,,,
191,10/11/19 02:45:00 AM,17.760,,,,,
192,10/11/19 02:50:00 AM,17.760,,,,,
193,10/11/19 02:55:00 AM,17.760,,,,,
194,10/11/19 03:00:00 AM,17.760,,,,,
195,10/11/19 03:05:00 AM,17.665,,,,,
196,10/11/19 03:10:00 AM,17.760,,,,,
197,10/11/19 03:15:00 AM,17.665,,,,,
198,10/11/19 03:20:00 AM,17.760,,,,,
199,10/11/19 03:25:00 AM,17.665,,,,,
200,10/11/19 03:30:00 AM,17.665,,,,,
201,10/11/19 03:35:00 AM,17.665,,,,,
202,10/11/19 03:40:00 AM,17.665,,,,,
203,10/11/19 03:45:00 AM,17.665,,,,,
204,10/11/19 03:50:00 AM,17.665,,,,,
205,10/11/19 03:55:00 AM,17.665,,,,,
206,10/11/19 04:00:00 AM,17.665,,,,,
207,10/11/19 04:05:00 AM,17.665,,,,,
208,10/11/19 04:10:00 AM,17.665,,,,,
209,10/11/19 04:15:00 AM,17.665,,,,,
210,10/11/19 04:20:00 AM,17.665,,,,,
