variable_name,#,Temp,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File,Temp
units,nan,°F,nan,nan,nan,nan,nan,°C
serial_text,nan,"LGR S/N: 10469238, SEN S/N: 10469238",LGR S/N: 10469238,LGR S/N: 10469238,LGR S/N: 10469238,LGR S/N: 10469238,LGR S/N: 10469238,"LGR S/N: 10469238, SEN S/N: 10469238"
"Date Time, GMT+01:00",,,,,,,,
2019-10-10 11:00:00,1,72.199,,,,,,22.33277777777778
2019-10-10 11:00:02,2,,Logged,,,,,
2019-10-10 11:05:00,3,72.545,,,,,,22.525000000000002
2019-10-10 11:10:00,4,72.372,,,,,,22.428888888888892
2019-10-10 11:15:00,5,72.545,,,,,,22.525000000000002
2019-10-10 11:20:00,6,72.545,,,,,,22.525000000000002
2019-10-10 11:25:00,7,72.028,,,,,,22.237777777777783
2019-10-10 11:30:00,8,70.48,,,,,,21.37777777777778
2019-10-10 11:35:00,9,69.793,,,,,,20.996111111111116
2019-10-10 11:40:00,10,69.449,,,,,,20.805
2019-10-10 11:45:00,11,69.278,,,,,,20.710000000000004
2019-10-10 11:50:00,12,69.278,,,,,,20.710000000000004
2019-10-10 11:55:00,13,69.278,,,,,,20.710000000000004
2019-10-10 12:00:00,14,69.449,,,,,,20.805
2019-10-10 12:05:00,15,69.622,,,,,,20.901111111111113
2019-10-10 12:10:00,16,69.964,,,,,,21.09111111111111
2019-10-10 12:15:00,17,70.308,,,,,,21.282222222222224
2019-10-10 12:20:00,18,70.48,,,,,,21.37777777777778
2019-10-10 12:25:00,19,70.824,,,,,,21.56888888888889
2019-10-10 12:30:00,20,71.168,,,,,,21.760000000000005
2019-10-10 12:35:00,21,71.339,,,,,,21.855
2019-10-10 12:40:00,22,71.512,,,,,,21.95111111111111
2019-10-10 12:45:00,23,71.683,,,,,,22.046111111111113
2019-10-10 12:50:00,24,71.85600000000001,,,,,,22.142222222222227
2019-10-10 12:55:00,25,71.85600000000001,,,,,,22.142222222222227
2019-10-10 13:00:00,26,71.85600000000001,,,,,,22.142222222222227
2019-10-10 13:05:00,27,71.683,,,,,,22.046111111111113
2019-10-10 13:10:00,28,71.683,,,,,,22.046111111111113
2019-10-10 13:15:00,29,71.85600000000001,,,,,,22.142222222222227
2019-10-10 13:20:00,30,72.372,,,,,,22.428888888888892
2019-10-10 13:25:00,31,72.891,,,,,,22.717222222222226
2019-10-10 13:30:00,32,72.891,,,,,,22.717222222222226
2019-10-10 13:35:00,33,73.062,,,,,,22.81222222222222
2019-10-10 13:40:00,34,73.062,,,,,,22.81222222222222
2019-10-10 13:45:00,35,73.062,,,,,,22.81222222222222
2019-10-10 13:50:00,36,72.891,,,,,,22.717222222222226
2019-10-10 13:55:00,37,72.891,,,,,,22.717222222222226
2019-10-10 14:00:00,38,72.891,,,,,,22.717222222222226
2019-10-10 14:05:00,39,72.891,,,,,,22.717222222222226
2019-10-10 14:10:00,40,72.718,,,,,,22.621111111111116
2019-10-10 14:15:00,41,72.718,,,,,,22.621111111111116
2019-10-10 14:20:00,42,72.718,,,,,,22.621111111111116
2019-10-10 14:25:00,43,72.718,,,,,,22.621111111111116
2019-10-10 14:30:00,44,72.718,,,,,,22.621111111111116
2019-10-10 14:35:00,45,72.718,,,,,,22.621111111111116
2019-10-10 14:40:00,46,72.545,,,,,,22.525000000000002
2019-10-10 14:45:00,47,72.545,,,,,,22.525000000000002
2019-10-10 14:50:00,48,72.545,,,,,,22.525000000000002
2019-10-10 14:55:00,49,72.545,,,,,,22.525000000000002
2019-10-10 15:00:00,50,72.545,,,,,,22.525000000000002
2019-10-10 15:05:00,51,72.545,,,,,,22.525000000000002
2019-10-10 15:10:00,52,72.545,,,,,,22.525000000000002
2019-10-10 15:15:00,53,72.718,,,,,,22.621111111111116
2019-10-10 15:20:00,54,72.891,,,,,,22.717222222222226
2019-10-10 15:25:00,55,72.891,,,,,,22.717222222222226
2019-10-10 15:30:00,56,72.891,,,,,,22.717222222222226
2019-10-10 15:35:00,57,72.891,,,,,,22.717222222222226
2019-10-10 15:40:00,58,72.891,,,,,,22.717222222222226
2019-10-10 15:45:00,59,72.891,,,,,,22.717222222222226
2019-10-10 15:50:00,60,72.891,,,,,,22.717222222222226
2019-10-10 15:55:00,61,72.891,,,,,,22.717222222222226
2019-10-10 16:00:00,62,73.062,,,,,,22.81222222222222
2019-10-10 16:05:00,63,73.407,,,,,,23.003888888888884
